Iteration,Best Accuracy
1,0.2290000021457672
2,0.2290000021457672
3,0.6295999884605408
4,0.746999979019165
5,0.746999979019165
6,0.746999979019165
7,0.7821999788284302
8,0.7821999788284302
9,0.7821999788284302
10,0.7821999788284302
11,0.7821999788284302
12,0.7821999788284302
13,0.7821999788284302
14,0.7821999788284302
15,0.7821999788284302
16,0.7821999788284302
17,0.7821999788284302
18,0.7821999788284302
19,0.7821999788284302
20,0.7821999788284302
21,0.7821999788284302
22,0.7821999788284302
23,0.7821999788284302
24,0.7821999788284302
25,0.7821999788284302
26,0.7821999788284302
27,0.7821999788284302
28,0.7821999788284302
29,0.7821999788284302
30,0.7821999788284302
31,0.7821999788284302
32,0.7821999788284302
33,0.7821999788284302
34,0.7821999788284302
35,0.7821999788284302
36,0.7821999788284302
37,0.7821999788284302
38,0.7821999788284302
39,0.7821999788284302
40,0.7821999788284302
41,0.7821999788284302
42,0.7821999788284302
43,0.7821999788284302
44,0.7821999788284302
45,0.7821999788284302
46,0.7821999788284302
47,0.7821999788284302
48,0.7821999788284302
49,0.7821999788284302
50,0.7821999788284302
51,0.7821999788284302
52,0.7821999788284302
53,0.7821999788284302
54,0.7821999788284302
55,0.7821999788284302
56,0.7821999788284302
57,0.7821999788284302
58,0.7821999788284302
59,0.7821999788284302
60,0.7821999788284302
61,0.7821999788284302
62,0.7821999788284302
63,0.7821999788284302
64,0.7821999788284302
65,0.7821999788284302
66,0.7821999788284302
67,0.7821999788284302
68,0.7821999788284302
69,0.7821999788284302
70,0.7821999788284302
71,0.7821999788284302
72,0.7821999788284302
73,0.7821999788284302
74,0.7821999788284302
75,0.7821999788284302
76,0.7821999788284302
77,0.7821999788284302
78,0.7821999788284302
79,0.7821999788284302
80,0.7821999788284302
81,0.7821999788284302
82,0.7821999788284302
83,0.7821999788284302
84,0.7821999788284302
85,0.7861999869346619
86,0.7861999869346619
87,0.7861999869346619
88,0.7861999869346619
89,0.7861999869346619
90,0.7861999869346619
91,0.7861999869346619
92,0.7861999869346619
93,0.7861999869346619
94,0.7861999869346619
95,0.7861999869346619
96,0.7861999869346619
97,0.7861999869346619
98,0.7861999869346619
99,0.7861999869346619
100,0.7861999869346619
