Iteration,Best Accuracy
1,0.7781856954097748
2,0.8655559718608856
3,0.880102813243866
4,0.880102813243866
5,0.8831788897514343
6,0.8831788897514343
7,0.8831788897514343
8,0.8831788897514343
9,0.8831788897514343
10,0.8831788897514343
11,0.8831788897514343
12,0.8831788897514343
13,0.8831788897514343
14,0.8831788897514343
15,0.8831788897514343
16,0.8831788897514343
17,0.8831788897514343
18,0.8831788897514343
19,0.8831788897514343
20,0.8831788897514343
21,0.8831788897514343
22,0.8831788897514343
23,0.8831788897514343
24,0.8831788897514343
25,0.8831788897514343
26,0.8831788897514343
27,0.9060608446598053
28,0.9060608446598053
29,0.9060608446598053
30,0.9060608446598053
31,0.9060608446598053
32,0.9060608446598053
33,0.9060608446598053
34,0.9060608446598053
35,0.9060608446598053
36,0.9060608446598053
37,0.9199428558349609
38,0.9199428558349609
39,0.9199428558349609
40,0.9199428558349609
41,0.9199428558349609
42,0.9199428558349609
43,0.9199428558349609
44,0.9199428558349609
45,0.9199428558349609
46,0.9199428558349609
47,0.9260949790477753
48,0.9260949790477753
49,0.9260949790477753
50,0.9260949790477753
51,0.9260949790477753
52,0.9260949790477753
53,0.9260949790477753
54,0.9260949790477753
55,0.9303518533706665
56,0.9303518533706665
57,0.9303518533706665
58,0.9303518533706665
59,0.9303518533706665
60,0.9303518533706665
61,0.9303518533706665
62,0.9303518533706665
63,0.9351346492767334
64,0.9351346492767334
65,0.9351346492767334
66,0.9351346492767334
67,0.9351346492767334
68,0.9351346492767334
69,0.9351346492767334
70,0.9351346492767334
71,0.9351346492767334
72,0.9351346492767334
73,0.9351346492767334
74,0.9351346492767334
75,0.9364742338657379
76,0.9364742338657379
77,0.9364742338657379
78,0.9364742338657379
79,0.9364742338657379
80,0.9364742338657379
81,0.9364742338657379
82,0.9364742338657379
83,0.9364742338657379
84,0.9364742338657379
85,0.9364742338657379
86,0.9364742338657379
87,0.9364742338657379
88,0.9364742338657379
89,0.9422195255756378
90,0.9422195255756378
91,0.9422195255756378
92,0.9422195255756378
93,0.9422195255756378
94,0.9422195255756378
95,0.9422195255756378
96,0.9422195255756378
97,0.9422195255756378
98,0.9422195255756378
99,0.9422195255756378
100,0.9422195255756378
